Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3546504;Interior;Santa Ernestina;266;3;;;
3546603;Interior;Santa Fé do Sul;2026;54;;;
3546702;Interior;Santa Gertrudes;1489;28;;;
3546801;RMSP (exceto capital);Santa Isabel;3141;119;;;
3546900;Interior;Santa Lúcia;363;8;;;
3547007;Interior;Santa Maria da Serra;303;1;;;
3547106;Interior;Santa Mercedes;58;2;;;
3547205;Interior;Santana da Ponte Pensa;28;2;;;
3547304;RMSP (exceto capital);Santana de Parnaíba;7338;167;;;
3547403;Interior;Santa Rita d'Oeste;89;2;;;
3547502;Interior;Santa Rita do Passa Quatro;706;19;;;
3547601;Interior;Santa Rosa de Viterbo;1003;14;;;
3547650;Interior;Santa Salete;101;3;;;
3547700;Interior;Santo Anastácio;520;16;;;
3547809;RMSP (exceto capital);Santo André;37125;1327;;;
3547908;Interior;Santo Antônio da Alegria;284;6;;;
3548005;Interior;Santo Antônio de Posse;1334;17;;;
3548054;Interior;Santo Antônio do Aracanguá;252;7;;;
3548104;Interior;Santo Antônio do Jardim;240;4;;;
3548203;Interior;Santo Antônio do Pinhal;265;3;;;
3548302;Interior;Santo Expedito;84;2;;;
3548401;Interior;Santópolis do Aguapeí;230;8;;;
3548500;Interior;Santos;40460;1121;;;
3548609;Interior;São Bento do Sapucaí;279;3;;;
3548708;RMSP (exceto capital);São Bernardo do Campo;45765;1602;;;
3548807;RMSP (exceto capital);São Caetano do Sul;10892;411;;;
3548906;Interior;São Carlos;10785;129;;;
3549003;Interior;São Francisco;108;8;;;
3549102;Interior;São João da Boa Vista;3098;76;;;
3549201;Interior;São João das Duas Pontes;116;4;;;
3549250;Interior;São João de Iracema;53;3;;;
3549300;Interior;São João do Pau d'Alho;56;0;;;
3549409;Interior;São Joaquim da Barra;2194;37;;;
3549508;Interior;São José da Bela Vista;125;6;;;
3549607;Interior;São José do Barreiro;168;4;;;
3549706;Interior;São José do Rio Pardo;1197;42;;;
3549805;Interior;São José do Rio Preto;50172;1175;;;
3549904;Interior;São José dos Campos;47934;845;;;
3549953;RMSP (exceto capital);São Lourenço da Serra;437;16;;;
3550001;Interior;São Luiz do Paraitinga;23;5;;;
3550100;Interior;São Manuel;1719;37;;;
3550209;Interior;São Miguel Arcanjo;663;15;;;
3550308;Capital;São Paulo;540750;19117;;;
3550407;Interior;São Pedro;2065;31;;;
3550506;Interior;São Pedro do Turvo;362;5;;;
3550605;Interior;São Roque;2726;37;;;
3550704;Interior;São Sebastião;3842;77;;;
3550803;Interior;São Sebastião da Grama;532;11;;;
3550902;Interior;São Simão;449;10;;;
3551009;Interior;São Vicente;11697;623;;;
3551108;Interior;Sarapuí;102;3;;;
3551207;Interior;Sarutaiá;82;3;;;
3551306;Interior;Sebastianópolis do Sul;86;2;;;
3551405;Interior;Serra Azul;966;8;;;
3551504;Interior;Serrana;2828;57;;;
3551603;Interior;Serra Negra;1099;20;;;
3551702;Interior;Sertãozinho;7977;161;;;
3551801;Interior;Sete Barras;853;17;;;
3551900;Interior;Severínia;1085;21;;;
3552007;Interior;Silveiras;173;3;;;
3552106;Interior;Socorro;1691;21;;;
3552205;Interior;Sorocaba;32682;775;;;
3552304;Interior;Sud Mennucci;500;1;;;
3552403;Interior;Sumaré;12033;307;;;
3552502;RMSP (exceto capital);Suzano;10907;379;;;
3552551;Interior;Suzanápolis;235;4;;;
3552601;Interior;Tabapuã;679;21;;;
3552700;Interior;Tabatinga;850;22;;;
3552809;RMSP (exceto capital);Taboão da Serra;12552;422;;;
3552908;Interior;Taciba;254;6;;;
3553005;Interior;Taguaí;820;5;;;
3553104;Interior;Taiaçu;246;5;;;
3553203;Interior;Taiúva;357;7;;;
